Feed Product Type	Seller SKU	Update Delete	Your Price GBP (UK)	List Price with Tax for Display
feed_product_type	item_sku	update_delete	purchasable_offer[marketplace_id=A1F83G8C2ARO7P]#1.our_price#1.schedule#1.value_with_tax	list_price_with_tax
toyfigure	ALI-1005008600545173	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008600575635	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008600662259	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008604707919	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008608410969	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008608454206	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008608478387	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008611661777	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008611692976	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008611826672	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008611999890	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008619968528	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008619990314	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008646642221	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008647387993	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008647708700	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008648187900	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008648277072	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008648377040	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008648557665	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008648690390	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008662078125	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008662214894	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008662525084	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008662552029	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008708230536	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008811838902	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008858934470	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008945858269	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008950709499	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008950742514	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008952753669	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008952897979	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008952969464	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008953053040	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008956026493	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008956079151	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008956113120	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008971397816	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008971430508	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008971461010	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008971488155	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008976493544	PartialUpdate	19.99	19.99
